L sitkana,49,26,36,57,56,360,223,157,56,63,392,130,298,294,137,85,230,162,25,125,232,170,65,210,156,27,93,103,104,58,90,148,157,278,143,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L scutulata,3,0,2,51,11,20,12,5,0,3,29,5,3,10,7,2,29,12,0,0,8,3,0,1,3,0,1,7,4,12,0,5,10,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lottids,27,0,48,44,28,19,47,21,53,13,47,22,69,72,52,32,67,33,26,16,27,37,18,28,105,42,63,51,34,54,45,58,29,125,133,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacles,10,10,10,3,6,20,6,0.5,12,3,18,5,10,9,14,1,4,3,1,15,6,6,6,7,10,10,12,12,15,30,25,40,40,10,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mytilus,0.5,0,3,0.5,3,9,1,0.5,3,0.5,1,0.5,5,4,2,0.5,0.5,0.5,0,0.5,2,0.5,0.5,3,3,6,4,1,2,1,2,0.5,1,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucella,,,,,,,0,1,0,0,0,1,0,0,1,0,0,0,,,,,,,0,1,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnacle spat,30,15,60,97,45,80,45,10,20,12,25,12,70,65,75,2,40,35,10,1,15,35,5,8,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,10,40,3,dense set of Balanus spat across site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagurus,22,7,6,0,4,0,0,2,0,2,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptasterias,1,0,0,0,6,0,2,0,0,2,0,1,,,,,,,2,1,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphonaria,4,0,1,1,4,1,4,2,6,8,0,3,0,0,4,4,0,2,0,0,0,0,2,0,4,3,10,0,2,5,0,0,0,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emplectonema,2,0,2,3,3,3,2,0,2,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphiporous,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onchidella,2,0,5,2,1,0,2,0,19,8,1,4,0,0,0,3,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paranemertes,,,,,,,,,,,,,,1,,,,,,,,,,,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirorbidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katharina,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antho artemesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callithamnion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porphyra,5,0,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
