Barnacle spat,2,0.5,0.5,0.5,0.5,0,2,0.5,1,12,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,7,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,,,,,,,,,
Pagurus,0,1,0,0,29,10,0,0,12,0,0,1,13,14,27,15,0,0,4,4,13,,,,0,2,4,0,0,4,0,0,0,3,9,1,,,,,,,,,
Leptasterias,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphonaria,14,5,8,8,8,10,0,9,5,4,14,22,1,0,0,12,2,1,31,10,3,16,15,1,0,2,1,1,3,1,1,0,0,0,1,0,,,,,,,,,
Emplectonema,2,0,6,3,5,3,4,0,4,0,0,2,1,0,0,0,2,2,0,0,0,0,2,3,1,0,1,0,0,0,2,0,2,3,1,3,,,,,,,,,
Amphiporus,0,1,1,0,3,0,1,1,0,0,0,0,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,2,0,,,,,,,,,
Onchidella,3,1,1,0,4,0,0,1,1,9,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paranemertes,0,0,0,1,0,0,,,,,,,1,1,1,0,0,0,,,,,,,0,0,0,1,0,0,,,,,,,,,,,,,,,
Spirorbidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katharina,,,,,,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antho artemesia,,,,,,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callithamnion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porphyra,0.5,0,0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmaria,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustose coralline,,,,,,,,,,,,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margarites,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
